npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  5/7/2026 12:26:51 PM ::1 GET /js/data/germanic/en/translations.js
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 200 in 2 ms
 HTTP  5/7/2026 12:26:51 PM ::1 GET /
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 3 ms
 HTTP  5/7/2026 12:26:51 PM ::1 GET /css/mobile.css
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosyenglish.png
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosyfrench.png
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 2 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 1 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 2 ms
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosyitalian.png
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosyrussian.png
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 2 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 3 ms
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosygreek.png
 HTTP  5/7/2026 12:26:51 PM ::1 GET /js/data/theme_config.js
 HTTP  5/7/2026 12:26:51 PM ::1 GET /js/translate.js
 HTTP  5/7/2026 12:26:51 PM ::1 GET /js/cosy-mode.js
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 5 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 3 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 2 ms
 HTTP  5/7/2026 12:26:51 PM ::1 GET /js/mobile.js
 HTTP  5/7/2026 12:26:51 PM ::1 GET /js/dashboard-core.js
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 2 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 1 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 1 ms
 HTTP  5/7/2026 12:26:51 PM ::1 GET /js/script.js
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosyspanish.png
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosygerman.png
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosyportugese.png
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosyarmenian.png
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosygeorgian.png
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 4 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 2 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 4 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 6 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 5 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 6 ms
 HTTP  5/7/2026 12:26:51 PM ::1 GET /sw.js
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosytatar.png
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosybachkir.png
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosybreton.png
 HTTP  5/7/2026 12:26:51 PM ::1 GET /images/cosylanguages.png
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 3 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 2 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 5 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 6 ms
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 304 in 5 ms
 HTTP  5/7/2026 12:26:51 PM ::1 GET /COSYlanguages/
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 404 in 3 ms
 HTTP  5/7/2026 12:26:51 PM ::1 GET /COSYlanguages/index
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 301 in 0 ms
 HTTP  5/7/2026 12:26:51 PM ::1 GET /COSYlanguages/practice
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 404 in 2 ms
 HTTP  5/7/2026 12:26:51 PM ::1 GET /COSYlanguages/events.html
 HTTP  5/7/2026 12:26:51 PM ::1 Returned 301 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/days.html
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 301 in 0 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/css/mobile.css
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/js/mobile.js
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 404 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 404 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/data/germanic/en/translations.js
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /data/students.json?t=1778156812066
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/data/curriculum/en_a1.js
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /index.html
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 301 in 0 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /index
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 301 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /css/mobile.css
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyenglish.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyfrench.png
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyitalian.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyrussian.png
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosygreek.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/data/theme_config.js
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/translate.js
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/cosy-mode.js
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/mobile.js
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/dashboard-core.js
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/script.js
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyspanish.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosygerman.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /sw.js
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 4 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 4 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 4 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyportugese.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyarmenian.png
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosygeorgian.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosytatar.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosybachkir.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosybreton.png
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosylanguages.png
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/index.html
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 301 in 0 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/practice.html
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 301 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/index
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 301 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/practice
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 404 in 8 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 404 in 4 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 404 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/events.html
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 301 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/days.html
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 301 in 0 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/css/mobile.css
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/js/mobile.js
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 404 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 404 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/data/germanic/en/translations.js
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 5 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /css/mobile.css
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyenglish.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyfrench.png
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 8 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 7 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyitalian.png
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyrussian.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosygreek.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/data/theme_config.js
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/translate.js
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/cosy-mode.js
 HTTP  5/7/2026 12:26:52 PM ::1 GET /sw.js
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 4 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 2 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/mobile.js
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/dashboard-core.js
 HTTP  5/7/2026 12:26:52 PM ::1 GET /js/script.js
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyspanish.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosygerman.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyportugese.png
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 8 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 9 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 9 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 9 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 4 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 4 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosyarmenian.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosygeorgian.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosytatar.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosybachkir.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosybreton.png
 HTTP  5/7/2026 12:26:52 PM ::1 GET /images/cosylanguages.png
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 8 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 8 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 9 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 8 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 8 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 304 in 10 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 404 in 3 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/practice
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 404 in 1 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/events.html
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 301 in 0 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/days.html
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 301 in 0 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/css/mobile.css
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/js/mobile.js
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 404 in 7 ms
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 404 in 7 ms
 HTTP  5/7/2026 12:26:52 PM ::1 GET /COSYlanguages/js/srs.js
 HTTP  5/7/2026 12:26:52 PM ::1 Returned 404 in 2 ms
 HTTP  5/7/2026 12:26:53 PM ::1 GET /js/data/germanic/en/translations.js
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 304 in 1 ms
 HTTP  5/7/2026 12:26:53 PM ::1 GET /index.html
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 301 in 1 ms
 HTTP  5/7/2026 12:26:53 PM ::1 GET /index
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 301 in 1 ms
 HTTP  5/7/2026 12:26:53 PM ::1 GET /
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 200 in 0 ms
 HTTP  5/7/2026 12:26:53 PM ::1 GET /css/mobile.css
 HTTP  5/7/2026 12:26:53 PM ::1 GET /images/cosyenglish.png
 HTTP  5/7/2026 12:26:53 PM ::1 GET /images/cosyfrench.png
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 200 in 2 ms
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:53 PM ::1 GET /images/cosyitalian.png
 HTTP  5/7/2026 12:26:53 PM ::1 GET /images/cosyrussian.png
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:53 PM ::1 GET /images/cosygreek.png
 HTTP  5/7/2026 12:26:53 PM ::1 GET /js/data/theme_config.js
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:53 PM ::1 GET /js/translate.js
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 200 in 1 ms
 HTTP  5/7/2026 12:26:53 PM ::1 GET /js/cosy-mode.js
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 200 in 2 ms
 HTTP  5/7/2026 12:26:53 PM ::1 GET /js/mobile.js
 HTTP  5/7/2026 12:26:53 PM ::1 Returned 200 in 2 ms
 HTTP  5/7/2026 12:26:53 PM ::1 GET /js/dashboard-core.js
